BSC,CELL,THRAV,THRVP,THRDV,RULES_APPLIED,MaxTi,MaxCong,MaxTch,VAMOS,ENM,DATA_OF
CBEB8,CB8A8QB,4,4,11,Default,0.09,0.0,29.46,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A8QC,4,4,11,Default,0.23,0.0,29.35,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8A99A,3,3,10,Default,0.49,0.0,35.86,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8WB4C,5,5,14,Default,0.17,0.0,21.8,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8WB5A,4,4,11,Default,0.29,0.0,29.02,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8WB5B,8,8,22,Default,0.3,0.0,13.7,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8WB5C,4,4,11,Default,0.32,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEB8,CB8WB6A,5,5,15,Default,0.34,0.0,21.39,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9563C,2,2,10,Default,0.53,0.0,59.94,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9564A,2,2,10,Default,0.77,0.0,58.97,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9564B,5,5,15,Default,0.09,0.0,20.51,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9564C,3,3,10,Default,0.38,0.0,47.24,PLANNED,NA,2025-12-10 14:54:56
CBEB9,CB9588A,3,3,10,Default,0.33,0.0,36.01,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9MH5B,2,2,10,Default,0.41,0.0,51.71,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9MH5C,2,2,10,Default,0.47,0.0,59.63,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9MH7A,4,4,11,Default,0.42,0.0,28.0,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOCTK73C,4,4,11,Default,0.23,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD05A,2,2,10,Default,0.3,0.0,52.7,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD05B,10,10,20,Cong: >0-2,0.73,0.08,57.96,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD05C,2,2,10,Default,0.36,0.0,52.43,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD27A,4,4,11,Default,0.33,0.0,28.67,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD27B,4,4,11,Default,0.21,0.0,29.3,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJD27C,4,4,11,Default,0.16,0.0,29.49,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGM55C,2,2,10,Default,0.5,0.0,60.23,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGM56A,3,3,10,Default,0.34,0.0,37.13,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGMD0B,3,3,10,Default,0.36,0.0,35.74,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGMD0C,2,2,10,Default,0.47,0.0,58.61,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGMD1A,3,3,10,Default,0.33,0.0,36.93,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGMD1B,3,3,10,Default,0.39,0.0,36.82,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGMD1C,3,3,10,Default,0.24,0.0,36.0,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGME1A,4,4,11,Default,0.2,0.0,29.05,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGME1B,4,4,11,Default,0.12,0.0,29.23,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGME1C,4,4,11,Default,0.11,0.0,29.37,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOSNB21C,3,3,10,Default,0.26,0.0,36.59,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOSNB24A,3,3,10,Default,0.22,0.0,44.8,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL09A,3,3,10,Default,0.22,0.0,37.06,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL09B,3,3,10,Default,0.2,0.0,43.87,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL09C,4,4,11,Default,0.16,0.0,29.15,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL10A,3,3,10,Default,0.17,0.0,36.11,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL10B,3,3,10,Default,0.33,0.0,37.01,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL10C,4,4,11,Default,0.24,0.0,29.06,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL11A,4,4,11,Default,0.21,0.0,29.03,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNCGL11B,3,3,10,Default,0.18,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSDR82C,9,9,25,Default,0.76,0.0,12.0,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG05A,3,3,10,Default,0.38,0.0,37.0,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG05B,3,3,10,Default,0.26,0.0,36.0,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG05C,4,4,11,Default,0.35,0.0,28.02,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG12A,4,4,11,Default,0.24,0.0,28.18,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG12B,3,3,10,Default,0.27,0.0,36.0,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG12C,4,4,11,Default,0.18,0.0,29.43,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG15A,4,4,11,Default,0.3,0.0,28.02,PLANNED,NA,2025-12-10 14:54:56
CBEA7,FNSNG15B,4,4,11,Default,0.23,0.0,28.11,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOKBH01C,2,2,10,Default,0.49,0.0,51.39,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOMJD97B,5,5,14,Default,0.22,0.0,21.5,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOMJD97C,5,5,15,Default,0.41,0.0,20.01,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC46C,8,8,22,Default,0.13,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC48A,5,5,15,Default,0.32,0.0,20.43,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC48B,4,4,11,Default,0.29,0.0,28.19,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC48C,5,5,15,Default,0.49,0.0,20.04,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC49A,5,5,15,Default,0.64,0.0,21.04,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC49B,5,5,14,Default,0.44,0.0,21.77,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC49C,5,5,14,Default,0.24,0.0,21.47,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC50A,5,5,14,Default,0.34,0.0,21.5,PLANNED,NA,2025-12-10 14:54:56
CBEA8,NOSBC50B,5,5,14,Default,0.19,0.0,21.93,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT4A,5,5,15,Default,0.54,0.0,20.01,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT4B,4,4,11,Default,0.38,0.0,28.01,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT4C,3,3,10,Default,0.3,0.0,36.01,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT5A,4,4,11,Default,0.28,0.0,28.34,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT5B,5,5,15,Default,0.39,0.0,20.35,PLANNED,NA,2025-12-10 14:54:56
CBEA9,CA9YT5C,4,4,11,Default,0.3,0.0,28.37,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJDH1A,3,3,10,Default,0.2,0.0,36.8,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJDH1B,3,3,10,Default,0.36,0.0,49.6,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJDH1C,4,4,11,Default,0.15,0.0,29.27,PLANNED,NA,2025-12-10 14:54:56
CBEA5,NOMJDH7A,4,4,11,Default,0.13,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGM76B,3,3,10,Default,0.27,0.0,35.73,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGM76C,2,2,10,Default,0.39,0.0,58.66,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOBGM80A,3,3,10,Default,0.4,0.0,43.86,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH28A,5,5,15,Default,0.28,0.0,21.34,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH28B,4,4,11,Default,0.13,0.0,29.86,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH28C,3,3,10,Default,0.26,0.0,45.0,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH31A,3,3,10,Default,0.17,0.0,37.05,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH31B,4,4,11,Default,0.36,0.0,29.0,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH31C,4,4,11,Default,0.15,0.0,29.33,PLANNED,NA,2025-12-10 14:54:56
CBEA6,NOKBH33A,5,5,14,Default,0.17,0.0,21.93,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03AU1C,5,5,15,Default,0.46,0.0,20.02,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03AXNL,8,8,22,Default,0.1,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03AXNU,8,8,22,Default,0.28,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03AXQL,8,8,22,Default,0.29,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03B16L,8,8,22,Default,0.06,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLJC,3,3,10,Default,0.66,0.0,37.05,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLML,8,8,22,Default,0.16,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLMM,8,8,22,Default,0.06,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLMN,8,8,22,Default,0.11,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLMO,8,8,22,Default,0.05,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE03,D03DLMP,8,8,22,Default,0.05,0.0,14.0,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01I94A,9,9,25,Default,0.78,0.0,12.0,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01I94B,8,8,23,Default,0.48,0.0,13.08,PLANNED,NA,2025-12-10 14:54:56
DBE01,D01LW3C,5,5,15,Default,0.26,0.0,20.34,PLANNED,NA,2025-12-10 14:54:56
