LINK_ID,LINK_CODE,COST_CODE,VENDOR,CONTRACT,LINK_TYPE,BUCKET,LINK_CAPACITY,UNIT_COST_PER_MBPS_MONTHLY,PO_STATUS,SITECODE,OLD_SITECODE,SITE_NAME,PHASE,ORIGIN,HO_SITECODE,HO_SITE_NAME,REGION,INTERNAL_REMARKS,CEP_EXECUTION_DATE,POP_STATUS,LOCK_IN_CEP_POP_REMARKS,EXPIRE_DATE,TERMINATION_DATE,TERMINATION_STATUS,CLUSTER_NAME_CEP,PAT_DATE,PAT_STATUS,LAST_INVOICE,LOCK_IN_STATUS,FIBER_MASTER_PLAN,EFFECTIVE_START_TIME,EFFECTIVE_END_TIME,IS_CURRENT,USER
101205,SCL02409,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,280,86,Yes,CGPCH22,,OR Nizam R/A,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro, ,,, , ,1/1/1970,, ,9/15/2014,Completed,1-May,Lock in expired,NA,5/25/2025,1/1/1970,1,abc
101206,SCL02410,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGPCH24,,Ismail Colony,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, ,2/14/2025,1/1/1970,, ,9/15/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101207,SCL02411,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGPCH25,,Summer Hill,Phase#2,Robi,CGDMG33,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, ,2/14/2025,1/1/1970,, ,9/17/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101208,SCL02412,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,255,86,Yes,CGPCH28,,Bibirhat 2_Muradpur,Phase#2,Robi,CGDMG30,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,2/19/2015,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101209,SCL02413,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,375,86,Yes,CGPCH99,CGPCH32,BIBIRHAT3_Reloc,Phase#2,Robi,CGDMG31,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/25/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101210,SCL02414,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,280,86,Yes,CGPCH36,,Sugandha2,Phase#2,Robi,CGDMG32,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/25/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101211,SCL02415,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,180,86,Yes,CGPCH43,,Muradpur More LH,Phase#2,Robi,CGDMG30,Akhteruzzaman,Chittagong Metro,Minimum Slab ,,, , ,1/1/1970,, ,10/28/2014,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101212,SCL02416,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,200,86,Yes,CGPCH45,,Mohammadpur2,Phase#2,Robi,CGCDG41,Bahaddarhat,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,10/28/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
101213,SCL02422,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,400,86,Yes,CGPRT15,,Kalabibi Colony,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, , ,1/1/1970,, ,10/18/2014,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101214,SCL02423,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,445,86,Yes,CGPRTC0,CGPRT18,Chandarpara,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/16/2014,Completed,1-May,Lock in expired,Ring,5/25/2025,1/1/1970,1,abc
101215,SCL02424,SCL*Robi-LP-001091-3*LM*1,SCL,Robi-LP-001091-3,LM,1,500,86,Yes,CGPRT19,,S M Halishahar 3,Phase#2,Robi,CGDMG29,Akhteruzzaman,Chittagong Metro, ,,, ,2/14/2025,1/1/1970,, ,9/25/2014,Completed,1-May,Lock in expired,Spur,5/25/2025,1/1/1970,1,abc
