BSC,CELL,THRAV_P,THRVP_P,THRDV_P,THRAV_C,THRVP_C,THRDV_C,RULES_APPLIED,MaxTi,MaxCong,MaxTch,DATA_OF,ENM,COMMAND,EXECUTION,LOG,EXECUTION_TIME
DBEA1,DA1A3VC,8,8,22,4,4,11,Default,0.15,0.0,13.64,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1A3WA,5,5,15,4,4,11,Default,0.24,0.0,21.14,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1F27A,5,5,15,4,4,11,Default,0.31,0.0,21.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1F27B,5,5,15,3,3,9,Default,0.36,0.0,21.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1F27C,8,8,23,5,5,15,Default,0.28,0.0,13.62,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1NJ3C,8,8,23,5,5,15,Default,0.21,0.0,13.63,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1NQ7C,8,8,23,5,5,15,Default,0.22,0.0,13.45,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1V91B,5,5,15,3,3,7,Default,0.26,0.0,20.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA1,DA1V91C,5,5,15,4,4,11,Default,0.31,0.0,20.93,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2774B,3,3,10,3,3,7,Default,0.34,0.0,44.47,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2774C,2,2,10,2,2,6,Default,0.45,0.0,52.21,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2889A,3,3,10,3,3,9,Default,0.25,0.0,36.17,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2C76B,4,4,11,4,4,12,Default,0.2,0.0,29.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB4B,4,4,11,11,11,22,Default,0.66,0.0,28.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC5,CC5XB4C,5,5,15,6,6,16,Default,0.59,0.0,20.06,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2NC3C,8,8,22,8,8,24,Default,0.13,0.0,13.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2NJ9A,4,4,11,4,4,12,Default,0.23,0.0,29.01,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2NJ9B,5,5,14,5,5,15,Default,0.13,0.0,21.74,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
DBEA2,DA2NR1A,5,5,14,5,5,15,Default,0.1,0.0,21.59,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G23C,2,2,10,2,2,6,Default,0.47,0.0,58.53,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G33A,2,2,10,2,2,6,Default,0.28,0.0,52.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G33B,3,3,10,3,3,7,Default,0.29,0.0,45.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G33C,2,2,10,3,3,7,Default,0.38,0.0,50.06,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G94A,3,3,10,3,3,7,Default,0.56,0.0,43.8,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6G94B,2,2,10,2,2,6,Default,0.52,0.0,58.83,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6Q48A,3,3,10,3,3,9,Default,0.35,0.0,37.0,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
CBEC6,CC6Q48B,8,8,22,8,8,23,Default,0.35,0.0,13.87,2025-12-10 14:54:56,CTG,NA,NA,NA,2025-12-11 06:18:13
