BSC,CELL,max ti,Max_Cong,Max Tch,Insert_DATE,ENM
DBE94,D94MR8B,0.36,0,34.1,12/10/2025 14:54,DHK
DBE86,D86RE4B,0.75,0,20.01,12/10/2025 14:54,DHK
DBE86,D86RE4C,0.3,0,12.84,12/10/2025 14:54,DHK
DBE86,D86RT9A,1.12,0,11.04,12/10/2025 14:54,DHK
DBE86,D86RT9C,0.81,0,13.08,12/10/2025 14:54,DHK
DBE87,D87CTCA,0.63,0,20.62,12/10/2025 14:54,DHK
DBE87,D87CTCB,0.56,0,28.27,12/10/2025 14:54,DHK
DBE87,D87CTCC,0.88,0,27.29,12/10/2025 14:54,DHK
DBE87,D87CTDB,0.25,0,21.63,12/10/2025 14:54,DHK
DBE87,D87K97B,0.22,0,21.18,12/10/2025 14:54,DHK
DBE87,D87K97C,0.66,0,21.15,12/10/2025 14:54,DHK
DBE87,D87K98A,0.52,0,35.54,12/10/2025 14:54,DHK
DBE87,D87K98C,0.33,0,13.14,12/10/2025 14:54,DHK
CBEB0,CB0E33C,0.22,0,51.86,12/10/2025 14:54,CTG
CBEB0,CB0E43A,0.16,0,37.13,12/10/2025 14:54,CTG
CBEB0,CB0E43B,0.51,0,48.32,12/10/2025 14:54,CTG
CBEB0,CB0E43C,0.42,0,36.56,12/10/2025 14:54,CTG
CBEB0,CB0V15B,0.22,0,44.01,12/10/2025 14:54,CTG
CBEB0,FNDGN43A,0.12,0,21.41,12/10/2025 14:54,CTG
CBEB1,CB1D86C,0.57,0,59.11,12/10/2025 14:54,CTG
CBEB1,CB1F77A,0.38,0,51.49,12/10/2025 14:54,CTG
CBEB1,CB1F77B,0.62,0,28.05,12/10/2025 14:54,CTG
CBEB1,CB1F77C,0.31,0,36,12/10/2025 14:54,CTG
CBEB1,CGFTK29A,0.17,0,36.8,12/10/2025 14:54,CTG
CBEB1,CGFTK29B,0.16,0,37.22,12/10/2025 14:54,CTG
CBEB1,CGFTK29C,0.37,0,44.93,12/10/2025 14:54,CTG
CBEB1,CGFTK31B,0.41,0,36.87,12/10/2025 14:54,CTG
CBEB1,CGFTKC6C,0.41,0,13.48,12/10/2025 14:54,CTG
CBEB1,CGFTKD0A,1.32,0.43,12.31,12/10/2025 14:54,CTG
CBEB2,CB2Q45B,0.31,0,21.51,12/10/2025 14:54,CTG
CBEB2,CB2Q45C,0.42,0,20.04,12/10/2025 14:54,CTG
CBEB2,CB2Q88A,0.46,0,29.64,12/10/2025 14:54,CTG
CBEB2,CB2Q88B,0.25,0,13.73,12/10/2025 14:54,CTG
DBE69,D69YC6B,0.48,0,28.94,12/10/2025 14:54,DHK
DBE69,D69YC7A,0.32,0,20.33,12/10/2025 14:54,DHK
DBE69,DHSVR5BU,0.27,0,13.75,12/10/2025 14:54,DHK
DBE69,DHSVR5DA,1.1,0,13.04,12/10/2025 14:54,DHK
DBE69,DHSVR5DB,0.82,0,13.14,12/10/2025 14:54,DHK
DBE69,DHSVR5DC,1.17,0,13.01,12/10/2025 14:54,DHK
DBE69,DHSVR5EA,0.75,0,13.01,12/10/2025 14:54,DHK
DBE69,DHSVR5EB,1.28,14.26,13.03,12/10/2025 14:54,DHK
DBE76,D76CYXC,0.75,0,20,12/10/2025 14:54,DHK
DBE76,D76IG6C,0.47,0,21.29,12/10/2025 14:54,DHK
DBE76,D76IG7B,0.62,0,21.06,12/10/2025 14:54,DHK
DBE76,D76IG7C,0.28,0,21.71,12/10/2025 14:54,DHK
DBE76,D76IH2A,0.29,0,13.9,12/10/2025 14:54,DHK
DBE76,D76IH2B,0.24,0,21.76,12/10/2025 14:54,DHK
DBE50,TNBPR34A,0.41,0,13,12/10/2025 14:54,DHK
DBE50,TNBPR34B,0.43,0.52,12.15,12/10/2025 14:54,DHK
DBE50,TNBPR34C,0.4,0,12.24,12/10/2025 14:54,DHK
DBE69,D69D01A,0.89,0,34.71,12/10/2025 14:54,DHK
DBE69,D69D01B,0.21,0,12.51,12/10/2025 14:54,DHK
DBE69,D69G66A,0.31,0,27.95,12/10/2025 14:54,DHK
DBE69,D69G66C,0.18,0,21.46,12/10/2025 14:54,DHK
DBE69,D69G69A,0.42,0,20.02,12/10/2025 14:54,DHK
DBE69,D69RE3A,0.28,0,20.17,12/10/2025 14:54,DHK
DBE69,D69RE3B,0.27,0,20.17,12/10/2025 14:54,DHK
DBE69,D69RE3C,0.36,0,19.95,12/10/2025 14:54,DHK
DBE76,D76118B,0.39,0,12.45,12/10/2025 14:54,DHK
DBE76,D76118C,0.45,0,12.03,12/10/2025 14:54,DHK
DBE76,D76119A,0.51,0,20.01,12/10/2025 14:54,DHK
DBE76,D76119C,0.26,0,20.74,12/10/2025 14:54,DHK
DBE76,D76559O,0.27,0,14,12/10/2025 14:54,DHK
DBE76,D76559U,1.15,0,13.01,12/10/2025 14:54,DHK
DBE86,D86Z53A,0.25,0,19.95,12/10/2025 14:54,DHK
DBE86,D86Z53B,0.12,0,21.64,12/10/2025 14:54,DHK
DBE86,D86Z86A,0.5,0,21.01,12/10/2025 14:54,DHK
DBE86,D86Z86B,2.13,1.08,18.28,12/10/2025 14:54,DHK
DBE87,D87R37A,0.35,0,20.1,12/10/2025 14:54,DHK
DBE87,D87R37B,0.28,0,28,12/10/2025 14:54,DHK
DBE87,D87R38C,0.23,0,29.03,12/10/2025 14:54,DHK
DBE87,D87R95A,0.98,0,36.81,12/10/2025 14:54,DHK
DBE87,D87R95B,0.66,0,44.85,12/10/2025 14:54,DHK
DBE88,D88CTVC,0.99,0,20,12/10/2025 14:54,DHK
DBE88,D88CUIB,0.59,0,13.4,12/10/2025 14:54,DHK
DBE88,D88CUJA,0.23,0,21.69,12/10/2025 14:54,DHK
DBE88,D88G14B,0.92,0,35.75,12/10/2025 14:54,DHK
DBE88,D88G14C,0.73,0,19.09,12/10/2025 14:54,DHK
DBE88,D88G17C,0.24,0,14,12/10/2025 14:54,DHK
DBE88,D88YO4B,0.13,0,21.6,12/10/2025 14:54,DHK
DBE88,D88YP1A,0.24,0,13.79,12/10/2025 14:54,DHK
DBE88,D88YP1B,0.14,0,22,12/10/2025 14:54,DHK
DBE88,NGRPG10B,0.24,0,13.76,12/10/2025 14:54,DHK
DBE86,D86WJ5C,0.61,0,20,12/10/2025 14:54,DHK
DBE86,D86WJ6A,0.29,0,12.74,12/10/2025 14:54,DHK
DBE86,D86WJ6C,0.32,0,12.79,12/10/2025 14:54,DHK
DBE86,D86X48A,0.38,0,12.27,12/10/2025 14:54,DHK
DBE86,D86X48C,0.33,0,12.19,12/10/2025 14:54,DHK
DBE87,D87K99A,0.41,0,20.23,12/10/2025 14:54,DHK
DBE87,D87K99C,0.32,0,28,12/10/2025 14:54,DHK
DBE87,D87T28C,0.24,0,13.07,12/10/2025 14:54,DHK
DBE87,D87TC7A,0.13,0,21.69,12/10/2025 14:54,DHK
DBE87,D87TC7B,0.07,0,13.96,12/10/2025 14:54,DHK
CBEB0,CB0V43A,0.27,0,43.37,12/10/2025 14:54,CTG
CBEB0,CGMIR64B,0.2,0,21.59,12/10/2025 14:54,CTG
CBEB0,CGMIR64C,0.39,0,29.01,12/10/2025 14:54,CTG
CBEB0,CGMIR73A,0.32,0,44.39,12/10/2025 14:54,CTG
CBEB0,CGMIR73B,0.4,0,51.22,12/10/2025 14:54,CTG
CBEB0,CGMIR73C,0.41,0,59.86,12/10/2025 14:54,CTG
CBEB1,CB1F94A,0.5,0,35.69,12/10/2025 14:54,CTG
CBEB1,CB1F94B,0.24,0,20.59,12/10/2025 14:54,CTG
CBEB1,CB1F94C,0.38,0,35.63,12/10/2025 14:54,CTG
CBEB1,CB1R35C,0.3,0,28,12/10/2025 14:54,CTG
CBEB1,CB1R36B,0.33,0,36.93,12/10/2025 14:54,CTG
CBEB1,CGFTKD0C,0.71,0,21.06,12/10/2025 14:54,CTG
CBEB1,CGFTKD1B,0.25,7.99,21.34,12/10/2025 14:54,CTG
CBEB1,KCPNC06C,0.27,0,13.79,12/10/2025 14:54,CTG
CBEB1,KCPNC07A,0.2,0,13.93,12/10/2025 14:54,CTG
CBEB1,KCPNC07B,0.37,0,21.04,12/10/2025 14:54,CTG
CBEB1,KCPNC07C,0.12,0,14,12/10/2025 14:54,CTG
CBEB2,CGRNG30B,0.52,0,37,12/10/2025 14:54,CTG
CBEB2,CGRNG30C,0.81,5.38,37,12/10/2025 14:54,CTG
CBEB2,CGRNG31A,0.6,0,58.14,12/10/2025 14:54,CTG
CBEB2,CGRNG31B,0.37,0,36.93,12/10/2025 14:54,CTG
CBEB2,CGRNG31C,0.22,0,51.53,12/10/2025 14:54,CTG
CBEB2,CGRNG32A,0.44,0,51.87,12/10/2025 14:54,CTG
CBEB2,CGRNGA1B,0.16,0,37.13,12/10/2025 14:54,CTG
DBE69,DHSVR5EC,0.78,0,21,12/10/2025 14:54,DHK
DBE69,DHSVR5JA,1.45,2.41,12.3,12/10/2025 14:54,DHK
DBE76,D76371C,0.42,0,20.06,12/10/2025 14:54,DHK
DBE76,D76374B,0.3,0,12.93,12/10/2025 14:54,DHK
DBE76,D76378A,1.29,0.25,13.69,12/10/2025 14:54,DHK
DBE76,D76378B,0.17,0,14,12/10/2025 14:54,DHK
DBE76,D76378C,0.3,0,13.72,12/10/2025 14:54,DHK
DBE76,D76CZQA,0.9,11.45,13.58,12/10/2025 14:54,DHK
DBE76,D76CZQC,0.35,0,21.56,12/10/2025 14:54,DHK
DBE76,D76D38B,0.39,0,13.2,12/10/2025 14:54,DHK
DBE76,D76E15B,0.39,0,13.34,12/10/2025 14:54,DHK
DBE76,D76E21A,0.98,0,20,12/10/2025 14:54,DHK
DBE50,TNGTL68A,0.39,0,13.01,12/10/2025 14:54,DHK
DBE50,TNGTL68B,0.53,0,13,12/10/2025 14:54,DHK
DBE50,TNGTL68C,1.78,2.84,12.99,12/10/2025 14:54,DHK
DBE50,TNSDR90A,1.14,0,13.02,12/10/2025 14:54,DHK
DBE50,TNSDR90B,0.81,0,13.46,12/10/2025 14:54,DHK
DBE69,D69BGIA,0.82,0,13.07,12/10/2025 14:54,DHK
DBE69,D69BGIB,1.59,0,19.54,12/10/2025 14:54,DHK
DBE69,D69BGIL,0.55,0,13.67,12/10/2025 14:54,DHK
DBE69,D69BGIU,0.51,0,13.76,12/10/2025 14:54,DHK
DBE69,D69JR3A,0.24,0,12.3,12/10/2025 14:54,DHK
DBE69,D69JR3C,0.29,0,12.64,12/10/2025 14:54,DHK
DBE69,D69U19C,0.19,0,20.09,12/10/2025 14:54,DHK
DBE69,D69U25A,0.23,0,21.85,12/10/2025 14:54,DHK
DBE69,D69YJ6C,0.33,0,20.13,12/10/2025 14:54,DHK
