bsc,cell,max_intensity,max_congestion,max_avail_tch_mean
CBEB5,CB5M08A,0.22,0.0,21.32
CBEB6,CB6017A,0.44,0.0,52.41
CBEB6,CB6017B,0.59,0.0,36.73
CBEB6,CB6017C,0.5,0.0,52.57
CBEB6,CB6022A,0.66,0.0,44.4
CBEB6,CB6022B,1.46,0.0,27.31
CBEB6,CB6022C,0.69,0.0,43.0
CBEB6,CB6039A,0.25,0.0,29.53
CBEB6,CB6039B,0.76,0.0,36.27
CBEB6,CB6855A,0.32,0.0,36.97
CBEB6,CB6855B,0.25,0.0,37.02
CBEB3,CGCDG84C,0.44,0.0,20.3
CBEB3,CGCDG85A,0.83,0.0,36.09
CBEB3,CGCDG85B,0.42,0.0,21.17
CBEB3,CGCDG85C,0.37,0.0,29.11
CBEB3,CGCDG86A,0.42,0.0,29.02
CBEB3,CGCDG86B,0.5,0.0,43.47
CBEB3,CGCDG86C,0.42,0.0,29.06
CBEB3,CGCDG92A,0.65,0.0,58.8
CBEB6,CB6S23A,0.33,0.0,21.45
CBEB6,CB6S23B,0.17,0.0,13.87
CBEB4,CB4194B,0.7,0.0,52.43
CBEB4,CB4194C,0.43,0.0,29.01
CBEB4,CB4B50A,0.31,0.0,28.04
CBEB4,CB4B50B,0.32,0.0,29.02
CBEB4,CB4B50C,0.3,0.0,21.24
CBEB4,CB4B82A,0.44,0.0,58.93
CBEB4,CB4B82B,0.47,0.0,28.93
CBEB4,CB4B82C,0.4,0.0,29.0
CBEB4,CB4B89A,0.23,0.0,43.73
CBEB4,CB4B89B,0.35,0.0,29.0
CBEB4,CGHTZH2C,0.19,0.0,29.17
CBEB4,CGHTZH6A,0.28,0.0,29.98
CBEB4,CGHTZH6B,0.16,0.0,29.91
CBEB4,CGHTZH6C,0.18,0.0,29.96
CBEB5,CB5129B,0.3,0.0,21.52
CBEB5,CB5129C,0.22,0.0,29.36
CBEB5,CB5141A,0.53,0.0,44.67
CBEB5,CB5141B,0.31,0.0,13.66
CBEB5,CB5141C,0.37,0.0,29.07
CBEB5,CB5167A,0.38,0.0,29.04
CBEB5,CB5M08B,0.49,0.0,20.03
CBEB5,CB5M08C,0.33,0.0,29.13
CBEB5,CB5M21A,0.4,0.0,29.1
CBEB5,CB5M21B,0.43,0.0,29.04
CBEB5,CB5M21C,0.43,0.0,13.47
CBEB5,CB5O81A,0.52,0.0,29.07
CBEB5,CB5O81B,0.28,0.0,29.17
CBEB5,CB5O81C,0.56,0.0,29.03
CBEB5,CB5O82A,0.39,0.0,21.31
CBEB5,CB5O82B,0.31,0.0,21.46
CBEB6,CB6855C,0.36,0.0,37.0
CBEB6,CB6871A,0.36,0.0,36.56
CBEB6,CB6871B,0.37,0.0,29.0
CBEB6,CB6871C,0.24,0.0,29.02
CBEB6,CB6874A,0.16,0.0,37.24
CBEB6,CB6874B,0.33,0.0,36.94
CBEB6,CB6874C,0.3,0.0,21.15
CBEB6,CB6H17B,0.61,0.0,28.93
CBEB6,CB6H17C,0.47,0.0,29.0
CBEB6,CB6H20A,0.32,0.0,29.02
CBEB6,CB6S23C,0.46,0.0,29.03
CBEB6,CB6S35A,0.41,0.0,21.47
CBEB6,CB6S35B,0.96,0.0,20.02
CBEB6,CB6S35C,0.33,0.0,29.14
CBEB6,CB6S73A,0.47,0.0,44.2
CBEB6,CB6S73B,0.4,0.0,44.48
CBEB6,CB6S73C,0.51,0.0,44.41
CBEB3,CGHTZF7A,0.16,0.0,29.44
CBEB3,CGHTZF7B,0.2,0.0,29.48
CBEB3,CGHTZF7C,0.11,0.0,21.93
CBEB4,CB4U26B,0.47,0.0,21.08
CBEB4,CB4U26C,0.44,0.0,29.0
CBEB4,CB4VA4A,0.55,0.0,59.07
CBEB4,CB4VA4B,0.29,0.0,20.31
CBEB4,CB4VA4C,0.42,0.0,58.72
CBEB4,CB4WE1A,0.26,0.0,21.26
CBEB4,CB4WE1B,0.15,0.0,37.03
CBEB4,CB4WE1C,0.31,0.0,37.0
CBEB4,CB4WE7A,0.26,0.0,21.51
CBEB4,CGHTZ05C,0.6,0.0,51.19
CBEB5,CB5167B,0.39,0.0,29.06
